episode,return,steps
783,-95.0,71
784,9.0,12
785,2.0,19
786,-66.0,51
787,10.0,11
788,-18.0,30
789,2.0,10
790,14.0,7
791,11.0,10
792,-128.0,104
793,-7.0,28
794,-46.0,49
795,-37.0,49
796,-24.0,27
797,-19.0,40
798,4.0,17
799,-5.0,17
800,12.0,9
801,-2.0,14
802,-77.0,89
803,-29.0,32
804,-25.0,37
805,-101.0,86
806,-44.0,47
807,-144.0,120
808,-62.0,56
809,1.0,20
810,-28.0,49
811,-9.0,21
812,-28.0,40
813,-15.0,27
814,-77.0,89
815,1.0,11
816,-97.0,91
817,-67.0,61
818,6.0,15
819,6.0,15
820,-35.0,47
821,-51.0,63
822,-20.0,41
823,-20.0,41
824,-4.0,16
825,6.0,15
826,-68.0,44
827,-29.0,32
828,10.0,11
829,-22.0,34
830,-59.0,44
831,9.0,12
832,-2.0,23
833,-31.0,43
834,-8.0,20
835,6.0,15
836,-77.0,62
837,6.0,15
838,-34.0,55
839,11.0,10
840,-3.0,24
841,-79.0,64
842,-8.0,29
843,9.0,12
844,-32.0,35
845,-45.0,48
846,-14.0,26
847,-28.0,31
848,11.0,10
849,-18.0,30
850,-49.0,52
851,14.0,7
852,8.0,13
853,-13.0,34
854,-2.0,14
855,-20.0,32
856,-14.0,26
857,-11.0,23
858,-71.0,56
859,15.0,6
860,-86.0,71
861,8.0,13
862,-110.0,95
863,-80.0,65
864,10.0,11
865,-19.0,31
866,-92.0,86
867,5.0,16
868,-15.0,18
869,-30.0,42
870,-10.0,22
871,11.0,10
872,-11.0,23
873,0.0,21
874,1.0,11
875,-117.0,111
876,3.0,18
877,11.0,10
878,2.0,10
879,-47.0,50
880,-10.0,31
881,-7.0,19
882,-76.0,70
883,3.0,18
884,-3.0,24
885,-9.0,30
886,-13.0,34
887,-1.0,13
888,-9.0,30
889,-47.0,59
890,-52.0,55
891,-48.0,60
892,-18.0,21
893,-113.0,71
894,-21.0,42
895,-102.0,96
896,10.0,11
897,-77.0,71
898,14.0,7
899,9.0,12
900,0.0,12
901,-25.0,37
902,-53.0,65
903,7.0,14
904,-7.0,19
905,9.0,12
906,12.0,9
907,-3.0,24
908,9.0,12
909,-85.0,79
910,4.0,17
911,-9.0,21
912,-10.0,13
913,10.0,11
914,12.0,9
915,6.0,15
916,-24.0,36
917,-140.0,125
918,-13.0,25
919,-84.0,60
920,-3.0,15
921,8.0,13
922,4.0,17
923,13.0,8
924,-21.0,33
925,3.0,18
926,9.0,12
927,11.0,10
928,-9.0,30
929,-73.0,85
930,7.0,14
931,3.0,18
932,3.0,9
933,1.0,20
934,-14.0,26
935,-12.0,15
936,-36.0,39
937,10.0,11
938,9.0,12
939,-54.0,48
940,-2.0,14
941,-5.0,17
942,-2.0,14
943,2.0,19
944,10.0,11
945,11.0,10
946,2.0,10
947,-12.0,24
948,-10.0,31
949,-9.0,21
950,8.0,13
951,-10.0,31
952,-12.0,24
953,-5.0,17
954,9.0,12
955,-138.0,105
956,-25.0,37
957,-1.0,22
958,-2.0,23
959,-36.0,48
960,-20.0,32
961,8.0,13
962,-51.0,72
963,11.0,10
964,-29.0,32
965,12.0,9
966,-35.0,38
967,-81.0,66
968,-5.0,26
969,5.0,16
970,10.0,11
971,-7.0,19
972,1.0,11
973,-34.0,46
974,8.0,13
975,-9.0,21
976,-14.0,35
977,11.0,10
978,-67.0,61
979,12.0,9
980,10.0,11
981,9.0,12
982,8.0,13
983,-40.0,52
984,15.0,6
985,11.0,10
986,-27.0,30
987,-88.0,64
988,-24.0,36
989,-21.0,33
990,-92.0,68
991,1.0,20
992,-8.0,11
993,-2.0,23
994,0.0,21
995,8.0,13
996,-64.0,49
997,-106.0,100
998,-49.0,43
999,-5.0,26
1000,-15.0,27
1001,-11.0,14
1002,-4.0,25
1003,-92.0,86
1004,-25.0,37
1005,-13.0,34
1006,10.0,11
1007,-83.0,68
1008,-9.0,21
1009,8.0,13
1010,2.0,19
1011,-4.0,16
1012,8.0,13
1013,4.0,17
1014,10.0,11
1015,-103.0,97
1016,-9.0,21
1017,14.0,7
1018,3.0,18
1019,-57.0,60
1020,-61.0,73
1021,-7.0,19
1022,-20.0,41
1023,-16.0,37
1024,9.0,12
1025,-53.0,56
1026,-44.0,56
1027,-45.0,48
1028,11.0,10
1029,-4.0,16
1030,5.0,16
1031,-7.0,19
1032,-36.0,30
1033,7.0,14
1034,-46.0,58
1035,-14.0,26
1036,-95.0,71
1037,-6.0,27
1038,-25.0,28
1039,-35.0,38
1040,12.0,9
1041,-70.0,55
1042,13.0,8
1043,-10.0,22
1044,-43.0,37
1045,-47.0,41
1046,11.0,10
1047,-30.0,51
1048,2.0,10
1049,7.0,14
1050,-29.0,41
1051,11.0,10
1052,-58.0,61
1053,2.0,19
1054,12.0,9
1055,-46.0,67
1056,9.0,12
1057,-1.0,13
1058,-2.0,23
1059,-3.0,24
1060,-8.0,29
1061,-52.0,46
1062,2.0,19
1063,-19.0,22
1064,-17.0,38
1065,-18.0,30
1066,-36.0,39
1067,-17.0,20
1068,6.0,15
1069,-13.0,34
1070,2.0,19
1071,-108.0,75
1072,1.0,20
1073,0.0,21
1074,-4.0,25
1075,6.0,15
1076,9.0,12
1077,2.0,10
1078,-14.0,17
1079,-32.0,44
1080,-6.0,27
1081,11.0,10
1082,7.0,14
1083,-28.0,40
1084,-4.0,25
1085,12.0,9
1086,11.0,10
1087,-4.0,25
1088,10.0,11
1089,-3.0,15
1090,1.0,11
1091,-15.0,27
1092,8.0,13
1093,-32.0,44
1094,8.0,13
1095,-7.0,28
1096,4.0,17
1097,10.0,11
1098,10.0,11
1099,10.0,11
