episode,return,steps
891,-45.0,30
892,-9.0,21
893,-32.0,35
894,-66.0,60
895,-152.0,128
896,-24.0,27
897,-46.0,40
898,-1.0,13
899,10.0,11
900,-4.0,16
901,-61.0,73
902,-37.0,40
903,1.0,20
904,-3.0,24
905,-13.0,25
906,13.0,8
907,-43.0,37
908,10.0,11
909,-24.0,27
910,-17.0,20
911,-42.0,27
912,-13.0,16
913,-27.0,39
914,4.0,8
915,-7.0,19
916,-93.0,69
917,-118.0,76
918,-48.0,51
919,-48.0,51
920,5.0,16
921,-14.0,17
922,-8.0,20
923,13.0,8
924,-92.0,59
925,-5.0,17
926,-4.0,16
927,7.0,14
928,-70.0,37
929,-27.0,39
930,-49.0,43
931,-2.0,14
932,2.0,10
933,-13.0,25
934,-22.0,25
935,-15.0,18
936,-42.0,36
937,2.0,10
938,-3.0,15
939,-68.0,53
940,7.0,14
941,-2.0,14
942,4.0,17
943,-10.0,22
944,-2.0,14
945,1.0,11
946,12.0,9
947,-3.0,15
948,-6.0,18
949,-9.0,21
950,9.0,12
951,-47.0,41
952,-18.0,21
953,8.0,13
954,-7.0,19
955,-146.0,95
956,-2.0,23
957,5.0,16
958,-30.0,24
959,-70.0,73
960,-84.0,69
961,6.0,15
962,-175.0,106
963,6.0,15
964,-99.0,75
965,10.0,11
966,-22.0,25
967,-57.0,42
968,-50.0,53
969,7.0,14
970,-3.0,15
971,-124.0,82
972,1.0,11
973,-32.0,26
974,8.0,13
975,-8.0,20
976,-15.0,18
977,8.0,13
978,-24.0,36
979,-1.0,13
980,-6.0,18
981,11.0,10
982,10.0,11
983,-51.0,45
984,15.0,6
985,-9.0,12
986,2.0,19
987,-70.0,55
988,-47.0,50
989,-110.0,59
990,-14.0,26
991,-14.0,17
992,11.0,10
993,-5.0,26
994,-2.0,14
995,-67.0,61
996,-72.0,57
997,-36.0,39
998,-6.0,18
999,-26.0,38
1000,-7.0,19
1001,6.0,15
1002,-41.0,44
1003,-55.0,58
1004,-12.0,33
1005,-204.0,135
1006,0.0,12
1007,-65.0,41
1008,-6.0,18
1009,-4.0,16
1010,-26.0,29
1011,-7.0,28
1012,-1.0,13
1013,-54.0,39
1014,10.0,11
1015,-151.0,127
1016,6.0,15
1017,14.0,7
1018,-40.0,34
1019,-88.0,64
1020,-41.0,44
1021,-41.0,26
1022,-85.0,52
1023,-9.0,21
1024,-9.0,12
1025,-112.0,70
1026,-32.0,35
1027,-73.0,58
1028,12.0,9
1029,5.0,16
1030,9.0,12
1031,7.0,14
1032,4.0,17
1033,10.0,11
1034,-82.0,67
1035,-57.0,60
1036,-78.0,72
1037,-13.0,25
1038,0.0,21
1039,0.0,21
1040,12.0,9
1041,-12.0,24
1042,-9.0,12
1043,-59.0,44
1044,-41.0,44
1045,-74.0,50
1046,-1.0,13
1047,-19.0,31
1048,12.0,9
1049,-6.0,27
1050,-5.0,17
1051,3.0,18
1052,-45.0,39
1053,-1.0,22
1054,-1.0,13
1055,-7.0,28
1056,0.0,12
1057,7.0,14
1058,-15.0,27
1059,-5.0,17
1060,-39.0,33
1061,-47.0,32
1062,9.0,12
1063,-10.0,31
1064,-1.0,22
1065,-74.0,41
1066,4.0,17
1067,-11.0,23
1068,-23.0,26
1069,-9.0,21
1070,-19.0,31
1071,-10.0,31
1072,-63.0,30
1073,-75.0,60
1074,-19.0,22
1075,-17.0,29
1076,-10.0,13
1077,7.0,14
1078,6.0,15
1079,-8.0,20
1080,-3.0,15
1081,-10.0,13
1082,-31.0,25
1083,-24.0,27
1084,-5.0,26
1085,11.0,10
1086,-1.0,13
1087,-14.0,26
1088,9.0,12
1089,-4.0,16
1090,11.0,10
1091,-12.0,24
1092,-11.0,14
1093,-45.0,39
1094,6.0,15
1095,-7.0,19
1096,-57.0,33
1097,0.0,12
1098,11.0,10
1099,0.0,12
1100,8.0,13
1101,10.0,11
1102,-47.0,32
1103,-56.0,59
1104,6.0,15
1105,-56.0,41
1106,-41.0,35
1107,-8.0,11
1108,-12.0,15
1109,5.0,16
1110,-7.0,19
1111,-27.0,30
1112,13.0,8
1113,-2.0,14
1114,-9.0,12
1115,-19.0,22
1116,-42.0,36
1117,-12.0,24
